year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,7,AA,American Airlines Inc.,ALB,"Albany, NY: Albany International",79.00,32.00,10.23,2.28,3.58,0.22,15.70,3.00,0.00,2806.00,1036.00,181.00,120.00,19.00,1450.00
2022,7,AA,American Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",93.00,25.00,10.66,0.00,7.93,0.00,6.41,0.00,1.00,2454.00,1089.00,0.00,309.00,0.00,1056.00
2022,7,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",524.00,212.00,67.48,9.78,38.84,0.09,95.82,11.00,0.00,15548.00,5336.00,946.00,1617.00,10.00,7639.00
2022,7,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",1430.00,509.00,172.67,14.37,144.40,1.64,175.93,44.00,1.00,36903.00,15598.00,1131.00,6230.00,40.00,13904.00
2022,7,AA,American Airlines Inc.,AVL,"Asheville, NC: Asheville Regional",31.00,12.00,5.99,0.00,0.59,0.00,5.42,1.00,0.00,578.00,345.00,0.00,27.00,0.00,206.00
2022,7,AA,American Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",84.00,38.00,13.80,3.71,5.68,0.00,14.81,2.00,1.00,2180.00,595.00,332.00,199.00,0.00,1054.00
2022,7,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",384.00,137.00,41.17,8.49,15.34,0.13,71.87,13.00,0.00,9895.00,2877.00,681.00,624.00,12.00,5701.00
2022,7,AA,American Airlines Inc.,BGR,"Bangor, ME: Bangor International",62.00,18.00,3.91,0.00,2.37,0.00,11.73,2.00,0.00,1153.00,174.00,0.00,85.00,0.00,894.00
2022,7,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",55.00,31.00,9.28,1.00,9.56,0.15,11.02,0.00,3.00,2140.00,629.00,52.00,301.00,6.00,1152.00
2022,7,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",519.00,197.00,63.63,6.28,36.29,0.00,90.81,18.00,0.00,14834.00,5910.00,520.00,1436.00,0.00,6968.00
2022,7,AA,American Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",124.00,38.00,17.96,0.51,3.37,0.00,16.16,2.00,0.00,3107.00,1488.00,34.00,128.00,0.00,1457.00
2022,7,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1878.00,541.00,180.95,24.70,124.42,1.28,209.66,64.00,3.00,34789.00,11586.00,1681.00,6110.00,55.00,15357.00
2022,7,AA,American Airlines Inc.,BTV,"Burlington, VT: Burlington International",52.00,12.00,5.03,0.00,3.17,0.00,3.79,1.00,0.00,761.00,326.00,0.00,143.00,0.00,292.00
2022,7,AA,American Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",220.00,78.00,28.67,0.56,13.01,0.00,35.76,10.00,1.00,6215.00,2048.00,38.00,486.00,0.00,3643.00
2022,7,AA,American Airlines Inc.,BUR,"Burbank, CA: Bob Hope",62.00,19.00,6.43,0.32,3.05,0.00,9.20,0.00,0.00,825.00,319.00,6.00,142.00,0.00,358.00
2022,7,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",363.00,143.00,46.48,9.93,23.60,1.00,61.99,20.00,0.00,9553.00,2896.00,1072.00,1216.00,19.00,4350.00
2022,7,AA,American Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",93.00,34.00,13.01,0.00,7.22,0.00,13.77,0.00,0.00,2097.00,871.00,0.00,238.00,0.00,988.00
2022,7,AA,American Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",397.00,139.00,38.67,12.15,27.30,0.45,60.44,18.00,2.00,11237.00,3919.00,819.00,1337.00,15.00,5147.00
2022,7,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",322.00,118.00,41.41,5.07,27.08,1.08,43.36,8.00,0.00,7214.00,2394.00,419.00,1312.00,67.00,3022.00
2022,7,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",9444.00,2481.00,642.49,222.90,609.14,3.09,1003.38,385.00,51.00,201853.00,63845.00,18116.00,33829.00,189.00,85874.00
2022,7,AA,American Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",289.00,106.00,30.80,9.52,14.93,0.00,50.75,3.00,1.00,7310.00,2484.00,746.00,739.00,0.00,3341.00
2022,7,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",93.00,26.00,12.40,0.00,2.92,0.00,10.69,0.00,0.00,1373.00,608.00,0.00,104.00,0.00,661.00
2022,7,AA,American Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",123.00,40.00,13.61,0.00,5.70,1.00,19.69,4.00,0.00,2190.00,655.00,0.00,224.00,17.00,1294.00
2022,7,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2398.00,730.00,194.02,32.78,204.54,1.97,296.68,131.00,12.00,52555.00,15174.00,3034.00,9222.00,45.00,25080.00
2022,7,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",727.00,257.00,88.04,5.82,71.85,1.27,90.02,21.00,8.00,15387.00,5754.00,575.00,3446.00,70.00,5542.00
2022,7,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12680.00,2875.00,862.42,141.91,467.27,9.15,1394.26,298.00,30.00,259180.00,97890.00,12647.00,20655.00,393.00,127595.00
2022,7,AA,American Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",180.00,62.00,24.03,2.28,7.81,0.34,27.54,7.00,0.00,4625.00,2009.00,117.00,315.00,8.00,2176.00
2022,7,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",331.00,114.00,40.00,6.60,19.76,0.64,47.00,11.00,0.00,7472.00,3351.00,415.00,577.00,26.00,3103.00
2022,7,AA,American Airlines Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",10.00,4.00,2.37,0.00,0.43,0.00,1.21,0.00,0.00,263.00,106.00,0.00,23.00,0.00,134.00
2022,7,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",62.00,16.00,7.08,0.09,3.66,0.00,5.17,1.00,1.00,1959.00,818.00,9.00,214.00,0.00,918.00
2022,7,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",140.00,57.00,17.64,0.25,7.12,0.00,31.99,5.00,0.00,4420.00,1615.00,12.00,288.00,0.00,2505.00
